Total Doors,Classroom Code,Node,Day Number,Start Time,Duration,People Count,Connection Strength,Adjusted People Count
2,238,224,3,900,780,3,1,2
2,238,224,4,900,780,3,1,2
2,238,224,5,900,780,3,1,2
3,240,220,2,1500,330,14,1,5
3,240,220,3,1500,330,24,1,8
3,240,220,4,1500,330,23,1,8
3,240,220,5,1500,330,25,1,8
3,240,222,2,1500,330,14,2,9
3,240,222,3,1500,330,24,2,16
3,240,222,4,1500,330,23,2,15
3,240,222,5,1500,330,25,2,17
1,243,219,1,900,780,3,1,3
1,243,219,2,900,780,3,1,3
1,243,219,3,900,780,3,1,3
1,243,219,4,900,780,3,1,3
1,243,219,5,900,780,3,1,3
1,244,218,1,900,780,3,1,3
1,244,218,2,900,780,3,1,3
1,244,218,3,900,780,3,1,3
1,244,218,4,900,780,3,1,3
1,244,218,5,900,780,3,1,3
2,247,211,1,900,780,3,1,2
2,247,211,2,900,780,3,1,2
2,247,211,3,900,780,3,1,2
2,247,211,4,900,780,3,1,2
2,247,211,5,900,780,3,1,2
2,247,212,1,900,780,3,1,2
2,247,212,2,900,780,3,1,2
2,247,212,3,900,780,3,1,2
2,247,212,4,900,780,3,1,2
2,247,212,5,900,780,3,1,2
3,250,208,5,900,180,44,2,29
3,250,208,3,1300,90,41,2,27
3,250,208,2,1530,175,29,2,19
3,250,208,1,1530,90,21,2,14
3,250,208,3,1530,90,21,2,14
3,250,208,1,900,90,39,2,26
3,250,208,3,900,90,39,2,26
3,250,208,1,1200,90,40,2,27
3,250,208,1,1030,90,37,2,25
3,250,208,2,1330,90,37,2,25
3,250,208,1,1330,90,34,2,23
3,250,208,3,1030,90,34,2,23
3,250,208,5,1200,90,19,2,13
3,250,208,2,1030,90,39,2,26
3,250,208,4,1030,90,39,2,26
3,250,208,4,1300,90,37,2,25
3,250,208,4,1430,180,55,2,37
3,250,208,5,1900,180,7,2,5
3,250,210,5,900,180,44,1,15
3,250,210,3,1300,90,41,1,14
3,250,210,2,1530,175,29,1,10
3,250,210,1,1530,90,21,1,7
3,250,210,3,1530,90,21,1,7
3,250,210,1,900,90,39,1,13
