Node,Classroom Code,Day Number,Start Time,End Time,People Count,Door Count
131,136,1,900,2200,3,2
131,136,2,900,2200,3,2
131,136,3,900,2200,3,2
131,136,4,900,2200,3,2
131,136,5,900,2200,3,2
135,154,1,900,2200,2,1
135,154,2,900,2200,2,1
135,154,3,900,2200,2,1
135,154,4,900,2200,2,1
135,154,5,900,2200,2,1
136,155,1,900,2200,3,2
136,155,2,900,2200,3,2
136,155,3,900,2200,3,2
136,155,4,900,2200,3,2
136,155,5,900,2200,3,2
136,168,1,900,2200,2,1
136,168,2,900,2200,2,1
136,168,3,900,2200,2,1
136,168,4,900,2200,2,1
136,168,5,900,2200,2,1
137,167,1,900,2200,2,1
137,167,2,900,2200,2,1
137,167,3,900,2200,2,1
137,167,4,900,2200,2,1
137,167,5,900,2200,2,1
138,157,1,900,2200,3,2
138,157,2,900,2200,3,2
138,157,3,900,2200,3,2
138,157,4,900,2200,3,2
138,157,5,900,2200,3,2
138,166,1,900,2200,3,2
138,166,2,900,2200,3,2
138,166,3,900,2200,3,2
138,166,4,900,2200,3,2
138,166,5,900,2200,3,2
139,164,1,900,2200,4,2
139,164,2,900,2200,4,2
139,164,3,900,2200,4,2
139,164,4,900,2200,4,2
139,164,5,900,2200,4,2
206,224,1,900,2200,3,1
206,224,2,900,2200,3,1
206,224,3,900,2200,3,1
206,224,4,900,2200,3,1
206,224,5,900,2200,3,1
207,225,1,900,2200,3,1
207,225,2,900,2200,3,1
207,225,3,900,2200,3,1
207,225,4,900,2200,3,1
207,225,5,900,2200,3,1
208,227,1,900,2200,3,1
208,227,2,900,2200,3,1
208,227,3,900,2200,3,1
208,227,4,900,2200,3,1
208,227,5,900,2200,3,1
208,250,5,900,1200,44,2
208,250,3,1300,1430,41,2
208,250,2,1530,1755,29,2
208,250,1,1530,1630,21,2
208,250,3,1530,1630,21,2
208,250,1,900,1030,39,2
208,250,3,900,1030,39,2
208,250,1,1200,1330,40,2
208,250,1,1030,1130,37,2
208,250,2,1330,1430,37,2
208,250,1,1330,1430,34,2
208,250,3,1030,1130,34,2
208,250,5,1200,1330,19,2
208,250,2,1030,1130,39,2
208,250,4,1030,1130,39,2
208,250,4,1300,1430,37,2
208,250,4,1430,1700,55,2
208,250,5,1900,2200,7,2
211,229,1,900,2200,3,1
211,229,2,900,2200,3,1
211,229,3,900,2200,3,1
211,229,4,900,2200,3,1
211,229,5,900,2200,3,1
211,247,1,900,2200,3,1
211,247,2,900,2200,3,1
211,247,3,900,2200,3,1
211,247,4,900,2200,3,1
211,247,5,900,2200,3,1
218,230,1,900,2200,3,1
218,230,2,900,2200,3,1
218,230,3,900,2200,3,1
