Classroom Code,Day Number,Start Time,Duration,People Count
127,4,900,180,44
127,2,1330,90,85
127,4,1330,90,85
127,5,900,180,35
127,1,1330,90,11
127,4,1200,90,11
127,5,1200,180,48
127,2,1030,90,28
127,2,1600,170,76
127,1,1800,150,77
127,5,1800,150,77
127,3,1200,180,20
127,5,1500,180,17
134,1,1500,330,25
134,3,1500,330,14
134,4,1500,330,26
134,5,1500,330,25
138,1,1600,220,25
138,2,1600,220,24
138,3,1600,220,22
138,1,1300,90,25
138,3,1030,90,25
138,1,1030,90,19
138,3,1300,90,19
138,4,1530,225,8
138,1,1000,90,7
138,2,1000,90,7
240,2,1500,330,14
240,3,1500,330,24
240,4,1500,330,23
240,5,1500,330,25
250,5,900,180,44
250,3,1300,90,41
250,2,1530,175,29
250,1,1530,90,21
250,3,1530,90,21
250,1,900,90,39
250,3,900,90,39
250,1,1200,90,40
250,1,1030,90,37
250,2,1330,90,37
250,1,1330,90,34
250,3,1030,90,34
250,5,1200,90,19
250,2,1030,90,39
250,4,1030,90,39
250,4,1300,90,37
250,4,1430,180,55
250,5,1900,180,7
302,1,1330,120,37
302,3,1300,120,37
305,2,1500,180,44
305,3,1500,180,44
305,2,1330,90,40
305,4,1330,90,40
305,1,1330,90,39
305,3,1330,90,39
305,1,1030,90,34
305,2,1030,90,34
305,5,1200,180,15
305,5,1500,230,8
318,5,1600,220,25
318,1,1030,90,41
318,1,900,90,45
318,2,1400,120,45
318,5,1400,120,45
318,2,1600,120,45
318,4,1630,115,45
318,3,1730,155,13
318,3,930,240,31
318,2,1030,90,48
318,4,1030,90,48
318,1,1330,120,40
318,4,1330,120,40
318,2,1200,90,28
318,4,1200,90,28
318,1,1630,165,36
326,2,1500,120,60
326,4,1500,120,60
326,2,1030,90,32
326,4,1200,90,32
326,3,1130,90,16
326,5,1130,90,16
326,1,900,120,40
326,2,1200,120,40
326,5,1300,240,40
326,2,1800,150,30
326,4,1800,150,19
326,6,900,180,13
326,6,1300,240,7
347,4,1200,180,20
347,3,1030,90,32
347,2,1630,90,56
347,4,1500,90,56
347,3,1630,60,71
347,1,1030,90,39
347,3,1330,90,39
347,1,1200,90,52
347,2,1200,90,52
347,5,1200,180,22
347,1,1500,90,67
347,3,1500,90,67
347,2,900,180,82
347,5,1900,180,3
347,3,1830,180,21
350,1,1430,90,54
350,4,1300,90,54
350,3,1300,90,29
350,1,900,90,32
350,1,1030,90,41
350,2,1300,90,28
350,3,1030,90,28
350,2,1030,90,32
350,3,1300,90,32
350,1,1600,90,53
350,2,1600,90,53
350,2,1430,90,53
350,3,1600,90,53
350,3,1430,90,58
350,5,1430,90,58
350,6,930,180,5
350,5,1900,180,5
350,6,1330,180,9
350,4,1000,180,6
404,2,1600,330,7
404,1,1600,270,9
404,3,1600,270,9
404,2,900,360,12
404,5,1500,360,6
404,4,1600,360,7
404,4,900,300,13
405,4,1600,330,7
405,3,900,240,8
405,5,900,240,8
405,1,1600,270,9
405,3,1600,270,9
405,2,1600,360,9
405,5,1500,360,13
406,4,1600,330,7
406,3,900,240,11
406,5,1600,220,11
406,5,900,360,8
406,3,1300,360,14
406,2,1600,360,6
407,1,900,780,3
407,2,900,780,3
407,3,900,780,3
407,4,900,780,3
407,5,900,780,3
409,1,900,780,3
409,2,900,780,3
409,3,900,780,3
409,4,900,780,3
409,5,900,780,3
421,2,1600,330,8
421,4,1600,330,7
421,3,900,240,9
421,5,1600,220,9
421,1,1600,270,4
421,4,1600,270,4
421,2,900,360,3
421,3,1300,330,3
421,3,2100,30,3
447,4,1500,180,4
447,3,1330,180,6
447,2,1800,180,6
447,2,1330,180,4
450,5,1330,180,37
450,5,1200,90,38
450,3,1630,90,19
450,5,1630,90,19
450,2,1030,180,43
450,5,900,180,36
450,1,1330,90,24
450,3,1330,90,24
450,1,1030,90,32
450,3,1030,90,32
450,2,1330,90,19
450,4,1030,90,28
450,5,1900,180,3
450,6,1330,180,2
450,6,930,180,5
505,3,1000,180,33
505,4,1000,180,35
508,5,1600,220,19
508,1,1430,90,6
508,4,1430,90,6
508,3,1600,270,9
508,1,1200,120,18
508,3,1200,120,18
508,4,1900,180,6
508,1,1900,180,8
512,5,1300,300,11
512,3,1400,180,3
512,2,1800,180,5
521,3,1030,90,38
521,5,1200,90,38
